200 GeV
ntrk v2{2} stat-err sys-err
6 0.0794529 0.000485454 0.00837088
7 0.0813211 0.000422016 0.00856771
8 0.0804023 0.000397009 0.0084709
9 0.0805289 0.000389296 0.00848424
10 0.0804906 0.000398334 0.00848021
11 0.0804946 0.00042062 0.00848063
12 0.0798172 0.000458518 0.00840927
13 0.0787614 0.000514701 0.00829803
14 0.0800495 0.000587088 0.00843373
15 0.0776172 0.000691945 0.00817748
16 0.0769796 0.000821575 0.00811031
17 0.0757996 0.000993963 0.00798599
18 0.0764595 0.00122507 0.0080555
19 0.0694428 0.00156701 0.00731625
20 0.0666575 0.00201604 0.00702281
21 0.0736483 0.00263614 0.00775933
22 0.071399 0.00329929 0.00752235

20 GeV
ntrk v2{4} stat-err sys-err
12 0.0737771 0.0267697 0.0106913
17 0.0807001 0.0246537 0.0116946

20 GeV
ntrk v2{2,gap} stat-err sys-err
7 0.0145154 0.000970772 0.00294272
12 0.0230673 0.000896685 0.00467646
17 0.0218042 0.00204457 0.00442039
22 0.0253024 0.00621074 0.00512959
