////////////////////////////////////////
//////                             ////
/////  Invariant yields (Fig. 2)  ////
////                             ////
////////////////////////////////////

Table 1.1. pi0 meson invariant yields vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)  Inv. yield ((GeV/c)^{-2})  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      4.75               5.101536e-05         6.589543e-06   4.967249e-06   2.652799e-06  
       5.5               1.881096e-05         1.617382e-06   1.691656e-06   9.781701e-07  
       6.5               5.052741e-06         5.079338e-07   4.196594e-07   2.627425e-07  
       7.5               1.379395e-06         2.066375e-07   1.237840e-07   7.172856e-08  
       8.5               4.413593e-07         8.937369e-08   3.922735e-08   2.295068e-08  
       9.5               2.386962e-07         4.579804e-08   2.073111e-08   1.241220e-08  
        11               8.085400e-08         1.541127e-08   7.139629e-09   4.204408e-09  
40-60%
      2.25               5.125311e-03         3.429458e-04   4.978887e-04   2.665162e-04  
      2.75               1.356311e-03         8.666096e-05   1.277936e-04   7.052815e-05  
      3.25               4.461802e-04         2.883583e-05   4.170550e-05   2.320137e-05  
      3.75               1.359802e-04         8.968646e-06   1.241748e-05   7.070971e-06  
      4.25               5.603330e-05         5.324626e-06   5.389121e-06   2.913732e-06  
      4.75               2.155997e-05         2.310791e-06   1.981922e-06   1.121119e-06  
       5.5               7.401580e-06         6.439033e-07   6.660361e-07   3.848822e-07  
       6.5               2.251583e-06         2.120599e-07   1.951786e-07   1.170823e-07  
       7.5               6.984263e-07         9.575089e-08   5.636433e-08   3.631817e-08  
60-80%
      2.25               9.793899e-04         7.301903e-05   9.880414e-05   5.092827e-05  
      2.75               2.999689e-04         2.018023e-05   2.905462e-05   1.559838e-05  
      3.25               9.423321e-05         6.804011e-06   9.123079e-06   4.900127e-06  
      3.75               2.817323e-05         2.359606e-06   2.763586e-06   1.465008e-06  
      4.25               1.142979e-05         1.419436e-06   1.099640e-06   5.943492e-07  
      4.75               5.850422e-06         7.020074e-07   5.188652e-07   3.042219e-07  
       5.5               1.814050e-06         2.062249e-07   1.707604e-07   9.433061e-08  
       6.5               5.095194e-07         7.908177e-08   4.528850e-08   2.649501e-08  


Table 1.3. Ks meson invariant yields vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)  Inv. yield ((GeV/c)^{-2})  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
       6.5               4.371392e-06         1.253462e-06   8.261952e-07   4.547088e-07  
       7.5               1.168510e-06         2.947514e-07   2.199713e-07   1.215475e-07  
       8.5               3.121468e-07         1.000096e-07   5.855728e-08   3.246927e-08  
       9.5               1.943977e-07         6.424849e-08   3.637411e-08   2.022110e-08  
        11               6.077895e-08         1.581282e-08   1.130650e-08   6.322179e-09  
 0-20%
       6.5               8.941183e-06         5.879819e-06   1.945945e-06   9.300550e-07  
       7.5               3.402701e-06         1.836848e-06   7.383398e-07   3.539463e-07  
       8.5               1.378959e-06         7.822517e-07   2.984333e-07   1.434383e-07  
       9.5               3.916137e-07         2.734934e-07   8.458869e-08   4.073536e-08  
        11               1.078256e-07         5.800654e-08   2.317401e-08   1.121593e-08  
20-40%
       6.5               6.362226e-06         2.191945e-06   1.283121e-06   6.617938e-07  
       7.5               1.552902e-06         6.330894e-07   3.120934e-07   1.615317e-07  
       8.5               5.051582e-07         1.661243e-07   1.012144e-07   5.254617e-08  
       9.5               2.736333e-07         1.115398e-07   5.470182e-08   2.846313e-08  
40-80%
       6.5               1.156799e-06         4.020069e-07   2.476164e-07   1.203294e-07  
       7.5               5.494909e-07         1.484467e-07   1.064855e-07   5.715762e-08  
       8.5               9.363801e-08         6.498202e-08   1.723182e-08   9.740153e-09  
       9.5               5.579082e-08         2.201468e-08   1.019361e-08   5.803318e-09  
