////////////////////////////////////
//////                         ////
/////  Meson RAA (Fig. 5, 6)  ////
////                         ////
////////////////////////////////


Table 3.1.1. pi0 meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      9.25  2.426499e-01         1.110325e-02   3.077438e-02   3.917336e-02  
      9.75  2.722998e-01         1.485373e-02   3.497519e-02   4.396003e-02  
        11  2.459985e-01         9.482597e-03   3.239878e-02   3.971396e-02  
        13  2.501066e-01         1.726268e-02   3.620090e-02   4.037717e-02  
        15  3.226897e-01         3.984390e-02   5.143593e-02   5.209497e-02  
        17  3.894676e-01         7.919521e-02   7.447828e-02   6.287558e-02  
 0-20%
      1.25  3.163081e-01         6.424773e-03   3.411318e-02   5.013719e-02  
      1.75  3.203078e-01         4.539035e-03   3.086460e-02   5.077117e-02  
      2.25  3.032629e-01         3.809017e-03   2.969991e-02   4.806943e-02  
      2.75  2.787711e-01         3.396520e-03   2.833217e-02   4.418730e-02  
      3.25  2.387880e-01         3.035642e-03   2.514983e-02   3.784968e-02  
      3.75  2.032871e-01         2.919408e-03   2.215312e-02   3.222252e-02  
      4.25  1.971872e-01         2.598132e-03   2.291360e-02   3.125564e-02  
      4.75  1.797505e-01         2.643880e-03   2.134956e-02   2.849179e-02  
      5.25  1.788686e-01         2.959199e-03   2.155092e-02   2.835201e-02  
      5.75  1.721045e-01         3.342365e-03   2.088324e-02   2.727985e-02  
      6.25  1.792653e-01         4.032610e-03   2.185889e-02   2.841489e-02  
      6.75  1.806950e-01         4.871482e-03   2.214562e-02   2.864150e-02  
      7.25  1.810998e-01         5.678414e-03   2.232822e-02   2.870567e-02  
      7.75  1.784214e-01         6.553730e-03   2.207460e-02   2.828112e-02  
      8.25  1.967378e-01         8.319268e-03   2.451368e-02   3.118441e-02  
      8.75  1.633316e-01         8.846607e-03   2.062907e-02   2.588928e-02  
      9.25  1.932775e-01         1.132869e-02   2.446705e-02   3.063592e-02  
      9.75  2.277030e-01         1.525536e-02   2.916614e-02   3.609262e-02  
        11  2.008543e-01         9.439699e-03   2.643145e-02   3.183690e-02  
